HourNum	Date	O3Level
1	20000101	0.01
2	20000101	0.012
3	20000101	0.008
4	20000101	0.005
5	20000101	0.005
6	20000101	0.005
7	20000101	0.007
8	20000101	0.008
9	20000101	0.01
10	20000101	0.012
11	20000101	0.013
12	20000101	0.012
13	20000101	0.009
14	20000101	0.005
15	20000101	0.003
16	20000101	0.003
17	20000101	0.003
18	20000101	0.003
19	20000101	0.003
20	20000101	0.006
21	20000101	0.013
22	20000101	0.011
23	20000102	0.009
24	20000102	0.008
25	20000102	0.011
26	20000102	0.015
27	20000102	0.016
28	20000102	0.019
29	20000102	0.022
30	20000102	0.023
31	20000102	0.023
32	20000102	0.024
33	20000102	0.025
34	20000102	0.026
35	20000102	0.029
36	20000102	0.031
37	20000102	0.03
38	20000102	0.026
39	20000102	0.019
40	20000102	0.011
41	20000102	0.006
42	20000102	0.004
43	20000102	0.005
44	20000102	0.008
45	20000102	0.012
46	20000102	0.013
47	20000103	0.012
48	20000103	0.014
49	20000103	0.016
50	20000103	0.017
51	20000103	0.013
52	20000103	0.012
53	20000103	0.011
54	20000103	0.01
55	20000103	0.007
56	20000103	0.005
57	20000103	0.003
58	20000103	0.003
59	20000103	0.003
60	20000103	0.003
61	20000103	0.002
62	20000103	0.002
63	20000103	0.002
64	20000103	0.002
65	20000103	0.003
66	20000103	0.003
67	20000103	0.004
68	20000103	0.003
69	20000103	0.003
70	20000103	0.004
71	20000104	0.007
72	20000104	0.013
73	20000104	0.016
74	20000104	0.017
75	20000104	0.018
76	20000104	0.019
77	20000104	0.018
78	20000104	0.014
79	20000104	0.013
80	20000104	0.013
81	20000104	0.014
82	20000104	0.022
83	20000104	0.023
84	20000104	0.023
85	20000104	0.01
86	20000104	0.009
87	20000104	0.008
88	20000104	0.009
89	20000104	0.009
90	20000104	0.008
91	20000104	0.008
92	20000104	0.007
93	20000104	0.007
94	20000105	0.004
95	20000105	0.004
96	20000105	0.004
97	20000105	0.003
98	20000105	0.004
99	20000105	0.004
100	20000105	0.003
101	20000105	0.003
102	20000105	0.008
103	20000105	0.013
104	20000105	0.013
105	20000105	0.017
106	20000105	0.016
107	20000105	0.014
108	20000105	0.014
109	20000105	0.013
110	20000105	0.013
111	20000105	0.012
112	20000105	0.011
113	20000105	0.009
114	20000105	0.013
115	20000105	0.011
116	20000105	0.009
117	20000105	0.008
118	20000106	0.006
119	20000106	0.006
120	20000106	0.005
121	20000106	0.004
122	20000106	0.004
123	20000106	0.004
124	20000106	0.003
125	20000106	0.003
126	20000106	0.006
127	20000106	0.008
128	20000106	0.01
129	20000106	0.013
130	20000106	0.015
131	20000106	0.015
132	20000106	0.015
133	20000106	0.01
134	20000106	0.007
135	20000106	0.004
136	20000106	0.004
137	20000106	0.003
138	20000106	0.005
139	20000106	0.009
140	20000106	0.006
141	20000106	0.005
142	20000107	0.003
143	20000107	0.003
144	20000107	0.003
145	20000107	0.005
146	20000107	0.005
147	20000107	0.009
148	20000107	0.017
149	20000107	0.013
150	20000107	0.014
151	20000107	0.018
152	20000107	0.018
153	20000107	0.021
154	20000107	0.021
155	20000107	0.017
156	20000107	0.006
157	20000107	0.003
158	20000107	0.003
159	20000107	0.003
160	20000107	0.003
161	20000107	0.008
162	20000107	0.01
163	20000107	0.012
164	20000108	0.011
165	20000108	0.013
166	20000108	0.015
167	20000108	0.013
168	20000108	0.014
169	20000108	0.013
170	20000108	0.013
171	20000108	0.012
172	20000108	0.016
173	20000108	0.02
174	20000108	0.021
175	20000108	0.023
176	20000108	0.022
177	20000108	0.019
178	20000108	0.017
179	20000108	0.012
180	20000108	0.011
181	20000108	0.01
182	20000108	0.012
183	20000108	0.012
184	20000108	0.011
185	20000108	0.01
186	20000108	0.012
187	20000108	0.013
188	20000109	0.014
189	20000109	0.011
190	20000109	0.01
191	20000109	0.01
192	20000109	0.009
193	20000109	0.005
194	20000109	0.005
195	20000109	0.003
196	20000109	0.005
197	20000109	0.007
198	20000109	0.006
199	20000109	0.007
200	20000109	0.006
201	20000109	0.005
202	20000109	0.005
203	20000109	0.004
204	20000109	0.003
205	20000109	0.002
206	20000109	0.003
207	20000109	0.002
208	20000109	0.002
209	20000109	0.003
210	20000109	0.006
211	20000109	0.011
212	20000110	0.009
213	20000110	0.012
214	20000110	0.015
215	20000110	0.015
216	20000110	0.01
217	20000110	0.008
218	20000110	0.009
219	20000110	0.011
220	20000110	0.016
221	20000110	0.016
222	20000110	0.018
223	20000110	0.021
224	20000110	0.021
225	20000110	0.023
226	20000110	0.023
227	20000110	0.022
228	20000110	0.018
229	20000110	0.013
230	20000110	0.009
231	20000110	0.009
232	20000110	0.008
233	20000110	0.012
234	20000110	0.018
235	20000110	0.023
236	20000111	0.019
237	20000111	0.021
238	20000111	0.022
239	20000111	0.023
240	20000111	0.024
241	20000111	0.019
242	20000111	0.014
243	20000111	0.013
244	20000111	0.012
245	20000111	0.015
246	20000111	0.019
247	20000111	0.021
248	20000111	0.022
249	20000111	0.024
250	20000111	0.025
251	20000111	0.019
252	20000111	0.013
253	20000111	0.006
254	20000111	0.006
255	20000111	0.007
256	20000111	0.012
257	20000111	0.01
258	20000111	0.011
259	20000111	0.014
260	20000112	0.008
261	20000112	0.004
262	20000112	0.002
263	20000112	0.002
264	20000112	0.002
265	20000112	0.002
266	20000112	0.002
267	20000112	0.003
268	20000112	0.004
269	20000112	0.007
270	20000112	0.021
271	20000112	0.023
272	20000112	0.022
273	20000112	0.016
274	20000112	0.011
275	20000112	0.009
276	20000112	0.008
277	20000112	0.003
278	20000112	0.003
279	20000112	0.002
280	20000112	0.002
281	20000112	0.002
282	20000113	0.002
283	20000113	0.002
284	20000113	0.002
285	20000113	0.002
286	20000113	0.007
287	20000113	0.008
288	20000113	0.014
289	20000113	0.008
290	20000113	0.008
291	20000113	0.013
292	20000113	0.016
293	20000113	0.018
294	20000113	0.019
295	20000113	0.02
296	20000113	0.018
297	20000113	0.014
298	20000113	0.013
299	20000113	0.007
300	20000113	0.005
301	20000113	0.003
302	20000113	0.003
303	20000113	0.003
304	20000113	0.003
305	20000113	0.003
306	20000114	0.003
307	20000114	0.003
308	20000114	0.003
309	20000114	0.003
310	20000114	0.003
311	20000114	0.003
312	20000114	0.003
313	20000114	0.003
314	20000114	0.005
315	20000114	0.009
316	20000114	0.013
317	20000114	0.019
318	20000114	0.02
319	20000114	0.015
320	20000114	0.015
321	20000114	0.014
322	20000114	0.01
323	20000114	0.008
324	20000114	0.006
325	20000114	0.009
326	20000114	0.007
327	20000114	0.004
328	20000114	0.004
329	20000114	0.005
330	20000115	0.007
331	20000115	0.011
332	20000115	0.012
333	20000115	0.01
334	20000115	0.009
335	20000115	0.007
336	20000115	0.006
337	20000115	0.006
338	20000115	0.008
339	20000115	0.011
340	20000115	0.011
341	20000115	0.012
342	20000115	0.015
343	20000115	0.017
344	20000115	0.016
345	20000115	0.013
346	20000115	0.007
347	20000115	0.008
348	20000115	0.006
349	20000115	0.005
350	20000115	0.007
351	20000115	0.011
352	20000115	0.009
353	20000115	0.005
354	20000116	0.002
355	20000116	0.004
356	20000116	0.004
357	20000116	0.003
358	20000116	0.002
359	20000116	0.006
360	20000116	0.006
361	20000116	0.009
362	20000116	0.011
363	20000116	0.015
364	20000116	0.02
365	20000116	0.025
366	20000116	0.03
367	20000116	0.03
368	20000116	0.035
369	20000116	0.038
370	20000116	0.036
371	20000116	0.034
372	20000116	0.034
373	20000116	0.034
374	20000116	0.034
375	20000116	0.033
376	20000116	0.033
377	20000116	0.036
378	20000117	0.033
379	20000117	0.033
380	20000117	0.015
381	20000117	0.01
382	20000117	0.017
383	20000117	0.022
384	20000117	0.017
385	20000117	0.018
386	20000117	0.018
387	20000117	0.015
388	20000117	0.018
389	20000117	0.017
390	20000117	0.014
391	20000117	0.011
392	20000117	0.011
393	20000117	0.011
394	20000117	0.01
395	20000117	0.009
396	20000117	0.013
397	20000117	0.016
398	20000117	0.014
399	20000117	0.01
400	20000117	0.011
401	20000117	0.015
402	20000118	0.007
403	20000118	0.003
404	20000118	0.005
405	20000118	0.006
406	20000118	0.006
407	20000118	0.004
408	20000118	0.004
409	20000118	0.003
410	20000118	0.005
411	20000118	0.008
412	20000118	0.01
413	20000118	0.01
414	20000118	0.012
415	20000118	0.012
416	20000118	0.011
417	20000118	0.009
418	20000118	0.005
419	20000118	0.003
420	20000118	0.003
421	20000118	0.003
422	20000118	0.003
423	20000118	0.002
424	20000118	0.002
425	20000118	0.002
426	20000119	0.002
427	20000119	0.002
428	20000119	0.002
429	20000119	0.003
430	20000119	0.002
431	20000119	0.003
