HourNum	Date	O3Level	
1	20000101	0.01	
2	20000101	0.012	
3	20000101	0.01	
4	20000101	0.012	
5	20000101	0.008	
6	20000101	0.005	
7	20000101	0.005	 
8	20000101	0.005	
9	20000101	0.007	
10	20000101	0.008	
11	20000101	0.01	
12	20000101	0.012	
13	20000101	0.013	
14	20000101	0.012	
15	20000101	0.009	
16	20000101	0.005	
17	20000101	0.003	
18	20000101	0.003	
19	20000101	0.003	
20	20000101	0.003	
21	20000101	0.003	
22	20000101	0.006	
23	20000101	0.013	
24	20000101	0.011	
25	20000102	0.009	
26	20000102	0.008	
27	20000102	0.011	
28	20000102	0.015	
29	20000102	0.016	
30	20000102	0.019	
31	20000102	0.022	
32	20000102	0.023	
33	20000102	0.023	
34	20000102	0.024	
35	20000102	0.025	
36	20000102	0.026	
37	20000102	0.029	
38	20000102	0.031	
39	20000102	0.03	
40	20000102	0.026	
41	20000102	0.019	
42	20000102	0.011	
43	20000102	0.006	
44	20000102	0.004	
45	20000102	0.005	
46	20000102	0.008	
47	20000102	0.012	
48	20000102	0.013	
49	20000103	0.012	
50	20000103	0.014	
51	20000103	0.016	
52	20000103	0.017	
53	20000103	0.013	
54	20000103	0.012	
55	20000103	0.011	
56	20000103	0.01	
57	20000103	0.007	
58	20000103	0.005	
59	20000103	0.003	
60	20000103	0.003	
61	20000103	0.003	
62	20000103	0.003	
63	20000103	0.002	
64	20000103	0.002	
65	20000103	0.002	
66	20000103	0.002	
67	20000103	0.003	
68	20000103	0.003	
69	20000103	0.004	
70	20000103	0.003	
71	20000103	0.003	
72	20000103	0.004	
73	20000104	0.007	
74	20000104	0.013	
75	20000104	0.016	
76	20000104	0.017	
77	20000104	0.018	
78	20000104	0.019	
79	20000104	0.018	
80	20000104	0.014	
81	20000104	0.013	
82	20000104	0.013	
83	20000104	0.014	
84	20000104	0.022	
85	20000104	0.023	
86	20000104	0.023	
87	20000104	0.01	
88	20000104	0.01	
89	20000104	0.009	
90	20000104	0.008	
91	20000104	0.009	
92	20000104	0.009	
93	20000104	0.008	
94	20000104	0.008	
95	20000104	0.007	
96	20000104	0.007	
97	20000105	0.004	 
98	20000105	0.004	
99	20000105	0.004	
100	20000105	0.003	
101	20000105	0.004	
102	20000105	0.004	
103	20000105	0.003	
104	20000105	0.003	
105	20000105	0.008	
106	20000105	0.013	
107	20000105	0.013	
108	20000105	0.017	
109	20000105	0.016	
110	20000105	0.014	
111	20000105	0.014	
112	20000105	0.013	
113	20000105	0.013	
114	20000105	0.012	
115	20000105	0.011	
116	20000105	0.009	
117	20000105	0.013	
118	20000105	0.011	
119	20000105	0.009	
120	20000105	0.008	
121	20000106	0.006	
122	20000106	0.006	
123	20000106	0.005	
124	20000106	0.004	
125	20000106	0.004	
126	20000106	0.004	
127	20000106	0.003	
128	20000106	0.003	
129	20000106	0.006	
130	20000106	0.008	
131	20000106	0.01	
132	20000106	0.013	
133	20000106	0.015	
134	20000106	0.015	
135	20000106	0.015	
136	20000106	0.01	
137	20000106	0.007	
138	20000106	0.004	
139	20000106	0.004	
140	20000106	0.003	
141	20000106	0.005	
142	20000106	0.009	
143	20000106	0.006	
144	20000106	0.005	
145	20000107	0.003	
146	20000107	0.003	
147	20000107	0.003	
148	20000107	0.005	
149	20000107	0.005	
150	20000107	0.009	
151	20000107	0.017	
152	20000107	0.013	
153	20000107	0.014	
154	20000107	0.018	
155	20000107	0.018	
156	20000107	0.021	
157	20000107	0.021	
158	20000107	0.017	
159	20000107	0.006	
160	20000107	0.003	
161	20000107	0.003	
162	20000107	0.003	
163	20000107	0.003	
164	20000107	0.008	
165	20000107	0.01	
166	20000107	0.01	
167	20000107	0.01	
168	20000107	0.012	
169	20000108	0.011	
170	20000108	0.013	
171	20000108	0.015	
172	20000108	0.013	
173	20000108	0.014	
174	20000108	0.013	
175	20000108	0.013	
176	20000108	0.012	
177	20000108	0.016	
178	20000108	0.02	
179	20000108	0.021	
180	20000108	0.023	
181	20000108	0.022	
182	20000108	0.019	
183	20000108	0.017	
184	20000108	0.012	
185	20000108	0.011	
186	20000108	0.01	
187	20000108	0.012	
188	20000108	0.012	
189	20000108	0.011	
190	20000108	0.01	
191	20000108	0.012	
192	20000108	0.013	
193	20000109	0.014	
194	20000109	0.011	
195	20000109	0.01	
196	20000109	0.01	
197	20000109	0.009	
198	20000109	0.005	
199	20000109	0.005	
200	20000109	0.003	
201	20000109	0.005	
202	20000109	0.007	
203	20000109	0.006	
204	20000109	0.007	
205	20000109	0.006	
206	20000109	0.005	
207	20000109	0.005	
208	20000109	0.004	
209	20000109	0.003	
210	20000109	0.002	
211	20000109	0.003	
212	20000109	0.002	
213	20000109	0.002	
214	20000109	0.003	
215	20000109	0.006	
216	20000109	0.011	
217	20000110	0.009	
218	20000110	0.012	
219	20000110	0.015	
220	20000110	0.015	
221	20000110	0.01	
222	20000110	0.008	
223	20000110	0.009	
224	20000110	0.011	
225	20000110	0.016	
226	20000110	0.016	
227	20000110	0.018	
228	20000110	0.021	
229	20000110	0.021	
230	20000110	0.023	
231	20000110	0.023	
232	20000110	0.022	
233	20000110	0.018	
234	20000110	0.013	
235	20000110	0.009	
236	20000110	0.009	
237	20000110	0.008	
238	20000110	0.012	
239	20000110	0.018	
240	20000110	0.023	
241	20000111	0.019	
242	20000111	0.021	
243	20000111	0.022	
244	20000111	0.023	
245	20000111	0.024	
246	20000111	0.019	
247	20000111	0.014	
248	20000111	0.013	
249	20000111	0.012	
250	20000111	0.015	
251	20000111	0.019	
252	20000111	0.021	
253	20000111	0.022	
254	20000111	0.024	
255	20000111	0.025	
256	20000111	0.019	
257	20000111	0.013	
258	20000111	0.006	
259	20000111	0.006	
260	20000111	0.007	
261	20000111	0.012	
262	20000111	0.01	
263	20000111	0.011	
264	20000111	0.014	
265	20000112	0.008	
266	20000112	0.004	
267	20000112	0.002	
268	20000112	0.002	
269	20000112	0.002	
270	20000112	0.002	
271	20000112	0.002	
272	20000112	0.003	
273	20000112	0.004	
274	20000112	0.007	
275	20000112	0.021	
276	20000112	0.023	
277	20000112	0.022	
278	20000112	0.016	
279	20000112	0.011	
280	20000112	0.009	
281	20000112	0.008	
282	20000112	0.003	
283	20000112	0.003	
284	20000112	0.002	
285	20000112	0.002	
286	20000112	0.002	
287	20000113	0.002	
288	20000113	0.002	
289	20000113	0.002	
290	20000113	0.002	
291	20000113	0.007	
292	20000113	0.008	
293	20000113	0.014	
294	20000113	0.008	
295	20000113	0.008	
296	20000113	0.013	
297	20000113	0.016	
298	20000113	0.018	
299	20000113	0.019	
300	20000113	0.02	
301	20000113	0.018	
302	20000113	0.014	
303	20000113	0.013	
304	20000113	0.007	
305	20000113	0.005	
306	20000113	0.003	
307	20000113	0.003	
308	20000113	0.003	
309	20000113	0.003	
310	20000113	0.003	
311	20000114	0.003	
312	20000114	0.003	
313	20000114	0.003	
314	20000114	0.003	
315	20000114	0.003	
316	20000114	0.003	
317	20000114	0.003	
318	20000114	0.003	
319	20000114	0.005	
320	20000114	0.009	
321	20000114	0.013	
322	20000114	0.019	
323	20000114	0.02	
324	20000114	0.015	
325	20000114	0.015	
326	20000114	0.014	
327	20000114	0.01	
328	20000114	0.008	
329	20000114	0.006	
330	20000114	0.009	
331	20000114	0.007	
332	20000114	0.004	
333	20000114	0.004	
334	20000114	0.005	
335	20000115	0.007	
336	20000115	0.011	
337	20000115	0.012	
338	20000115	0.01	
339	20000115	0.009	
340	20000115	0.007	
341	20000115	0.006	
342	20000115	0.006	
343	20000115	0.008	
344	20000115	0.011	
345	20000115	0.011	
346	20000115	0.012	
347	20000115	0.015	
348	20000115	0.017	
349	20000115	0.016	
350	20000115	0.013	
351	20000115	0.007	
352	20000115	0.008	
353	20000115	0.006	
354	20000115	0.005	
355	20000115	0.007	
356	20000115	0.011	
357	20000115	0.009	
358	20000115	0.005	
359	20000116	0.002	
360	20000116	0.004	
361	20000116	0.004	
362	20000116	0.003	
363	20000116	0.002	
364	20000116	0.006	
365	20000116	0.006	
366	20000116	0.009	
367	20000116	0.011	
368	20000116	0.015	
369	20000116	0.02	
370	20000116	0.025	
371	20000116	0.03	
372	20000116	0.03	
373	20000116	0.035	
374	20000116	0.038	
375	20000116	0.036	
376	20000116	0.034	
377	20000116	0.034	
378	20000116	0.034	
379	20000116	0.034	
380	20000116	0.033	
381	20000116	0.033	
382	20000116	0.036	
383	20000117	0.033	
384	20000117	0.033	
385	20000117	0.015	
386	20000117	0.01	
387	20000117	0.017	
